Virus	Length	Genes	Viral_Genes	Host_Genes	Provirus	Group	Hallmark_Genes	Viral_Family	Vibrant	Host_MAG	Host_Class
D1_5170375||	5922	7	1	1	No	dsDNAphage	0	Unknown	Yes	00009-contigs	Bacteroidia
D3_8335052||	5919	4	0	0	No	dsDNAphage	1	Myoviridae	Yes	None	None
D3_7402965||	5915	9	2	0	No	dsDNAphage	0	Unknown	Yes	00075-contigs	Proteobacteria
D4_10055||	5913	9	1	0	No	dsDNAphage	1	Unknown	Yes	None	None
D3_2170002||	5912	7	2	0	No	dsDNAphage	0	Unknown	Yes	00065-contigs	Gammaproteobacteria
D4_5704528||	5912	8	5	0	No	dsDNAphage	3	Myoviridae	Yes	00032-contigs	Cyanobacteriia
D1_4833526||	5908	6	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D2_3822525||	5908	14	5	0	No	dsDNAphage	0	Unknown	Yes	00016-contigs	Cyanobacteriia
D4_3672072||	5907	2	0	0	No	dsDNAphage	0	Unknown	No	00028-contigs	Bacteroidia
D4_5997587||	5906	7	0	0	No	dsDNAphage	0	Unknown	Yes	00024-contigs	Bacteroidia
D2_4930089||	5905	7	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_5143208||	5905	5	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_4494288||	5902	5	4	0	No	dsDNAphage	2	Unknown	Yes	None	None
D3_8578852||	5899	13	2	0	No	dsDNAphage	0	Myoviridae	Yes	00039-contigs	Cyanobacteriia
D2_892075||	5897	5	0	0	No	dsDNAphage	1	Unknown	Yes	None	None
D4_4706815||	5897	8	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_2148120||	5896	8	2	0	No	dsDNAphage	5	Siphoviridae	Yes	None	None
D1_2322088||	5896	7	5	0	No	dsDNAphage	3	Unknown	Yes	00014-contigs	Cyanobacteriia
D4_4319886||	5893	17	5	0	No	dsDNAphage	0	Siphoviridae	Yes	None	None
D3_8204704||	5892	15	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_2165918||	5891	9	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_539330||	5889	8	0	1	No	dsDNAphage	1	Unknown	Yes	00014-contigs	Cyanobacteriia
D2_1866889||	5889	7	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_238517||	5888	12	2	0	No	dsDNAphage	0	Unknown	Yes	00020-contigs	Cyanobacteriia
D3_4015067||	5887	8	0	0	No	dsDNAphage	0	Unknown	Yes	00047-contigs	Verrucomicrobiae
D2_5922620||	5885	11	5	0	No	dsDNAphage	0	Siphoviridae	Yes	00060-contigs	Gammaproteobacteria
D4_4566617||	5885	4	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_958826||	5884	8	5	0	No	dsDNAphage	2	Myoviridae	Yes	None	None
D3_2318421||	5880	9	1	0	No	dsDNAphage	0	Myoviridae	Yes	00012-contigs	Gammaproteobacteria
D4_4005854||	5879	10	1	0	No	dsDNAphage	2	Unknown	Yes	00032-contigs	Cyanobacteriia
D1_237953||	5877	16	3	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_1006813||	5876	6	5	0	No	dsDNAphage	5	Siphoviridae	Yes	None	None
D3_3797582||	5876	8	3	0	No	dsDNAphage	0	Unknown	Yes	None	None
D2_4250173||	5875	9	0	0	No	ssDNA	0	Unknown	Yes	None	None
D1_2293555||	5873	8	2	0	No	dsDNAphage	2	Myoviridae	Yes	None	None
D1_4969960||	5872	5	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D2_4749865||	5870	13	2	0	No	dsDNAphage	1	Unknown	Yes	None	None
D2_69388||	5869	7	0	0	No	dsDNAphage	0	Unknown	Yes	00027-contigs	Gammaproteobacteria
D4_1410407||	5867	6	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_449358||	5865	9	5	0	No	dsDNAphage	2	Siphoviridae	Yes	00005-contigs	Bacteroidia
D2_2858325||	5864	7	0	0	No	dsDNAphage	0	Unknown	Yes	00017-contigs	Alphaproteobacteria
D1_524247||	5862	7	3	0	No	dsDNAphage	3	Siphoviridae	Yes	None	None
D2_1753636||	5860	5	1	0	No	dsDNAphage	0	Unknown	Yes	00056-contigs	Gammaproteobacteria
D3_6751609||	5857	8	4	0	No	dsDNAphage	3	Unknown	Yes	00039-contigs	Cyanobacteriia
D4_2439190||	5855	6	2	0	No	dsDNAphage	2	Unknown	Yes	00010-contigs	Bacteroidia
D2_5653389||	5852	7	2	0	No	dsDNAphage	0	Unknown	Yes	00002-contigs	Gammaproteobacteria
D3_2119893||	5852	2	1	0	No	dsDNAphage	1	Unknown	No	None	None
D1_820980||	5851	13	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_2756924||	5849	9	3	0	No	dsDNAphage	3	Unknown	Yes	None	None
D3_9249171||	5849	8	0	0	No	dsDNAphage	2	Unknown	Yes	00048-contigs	Cyanobacteriia
D2_4395617||	5847	9	0	0	No	dsDNAphage	0	Unknown	Yes	00045-contigs	Alphaproteobacteria
D3_6787652||	5845	5	1	0	No	dsDNAphage	0	Unknown	Yes	00073-contigs	Alphaproteobacteria
D4_526518||	5845	10	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D2_4482822||	5844	9	1	0	No	dsDNAphage	0	Unknown	Yes	00020-contigs	Cyanobacteriia
D1_3116772||	5841	7	7	0	No	dsDNAphage	3	Podoviridae	Yes	00050-contigs	Alphaproteobacteria
D1_408109||	5838	11	2	0	No	dsDNAphage	0	Siphoviridae	Yes	00004-contigs	Gammaproteobacteria
D2_4666712||	5838	11	2	0	No	dsDNAphage	0	Unknown	Yes	00034-contigs	Gammaproteobacteria
D4_4899371||	5836	7	0	0	No	dsDNAphage	0	Myoviridae	Yes	00003-contigs	Bacteroidia
D1_4542244||	5835	6	3	0	No	dsDNAphage	3	Unknown	Yes	None	None
D3_177210||	5835	10	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D2_6705264||	5834	4	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_2649530||	5831	4	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_440069||	5830	5	1	0	No	dsDNAphage	0	Unknown	Yes	00014-contigs	Cyanobacteriia
D1_871566||	5830	8	3	0	No	dsDNAphage	2	Unknown	Yes	00036-contigs	Alphaproteobacteria
D1_5822828||	5829	4	2	0	No	dsDNAphage	1	Unknown	Yes	None	None
D4_6058919||	5829	11	0	0	No	dsDNAphage	0	Unknown	Yes	00002-contigs	Bacteroidia
D2_1871_length_5828_cov_590.299218_g702_i0||	5828	1	0	0	No	RNA	1	Unknown	No	None	None
D4_3559520||	5827	7	1	3	No	dsDNAphage	1	Unknown	Yes	None	None
D1_3087475||	5826	8	4	0	No	dsDNAphage	2	Unknown	Yes	None	None
D3_4251329||	5824	5	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_38323||	5824	14	2	0	No	dsDNAphage	0	Unknown	Yes	00020-contigs	Cyanobacteriia
D2_6651148||	5822	17	0	0	No	dsDNAphage	0	Unknown	Yes	00034-contigs	Gammaproteobacteria
D3_4703149||	5822	8	2	0	No	dsDNAphage	2	Unknown	Yes	00073-contigs	Alphaproteobacteria
D3_2866026||	5821	14	10	0	No	dsDNAphage	7	Unknown	Yes	00048-contigs	Cyanobacteriia
D4_2005154||	5821	8	1	0	No	dsDNAphage	1	Unknown	Yes	00003-contigs	Bacteroidia
D2_7734778||	5818	5	4	0	No	dsDNAphage	2	Myoviridae	Yes	None	None
D1_3989594||	5816	5	0	0	No	dsDNAphage	0	Unknown	Yes	00052-contigs	Cyanobacteriia
D4_5638210||	5815	8	0	0	No	dsDNAphage	0	Unknown	Yes	00028-contigs	Bacteroidia
D3_6251200||	5814	5	5	0	No	dsDNAphage	0	Myoviridae	Yes	00005-contigs	Bacteroidia
D1_1420970||	5813	9	1	0	No	dsDNAphage	1	Unknown	Yes	00036-contigs	Alphaproteobacteria
D3_9074735||	5813	12	4	0	No	dsDNAphage	1	Unknown	Yes	None	None
D4_4434200||	5811	8	3	0	No	dsDNAphage	2	Unknown	Yes	00010-contigs	Bacteroidia
D1_2986722||	5808	10	2	0	No	dsDNAphage	0	Unknown	Yes	00022-contigs	Gammaproteobacteria
D2_5144787||	5808	5	0	0	No	dsDNAphage	0	Unknown	Yes	00057-contigs	Cyanobacteriia
D4_1785032||	5808	7	5	0	No	dsDNAphage	5	Myoviridae	Yes	None	None
D4_5266058||	5808	2	0	0	No	dsDNAphage	0	Unknown	No	00020-contigs	Cyanobacteriia
D1_1979421||	5807	12	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_2586291||	5807	3	1	0	No	dsDNAphage	1	Unknown	No	None	None
D1_2929932||	5807	10	8	0	No	dsDNAphage	8	Unknown	Yes	00036-contigs	Alphaproteobacteria
D1_4895563||	5807	15	0	0	No	dsDNAphage	1	Unknown	Yes	00036-contigs	Alphaproteobacteria
D1_1903653||	5806	9	3	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_5876948||	5806	5	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_4137||	5805	6	2	0	No	dsDNAphage	1	Unknown	Yes	None	None
D3_2331324||	5804	15	1	0	No	dsDNAphage	1	Unknown	Yes	None	None
D2_6544335||	5803	7	3	0	No	dsDNAphage	2	Unknown	Yes	00028-contigs	Gammaproteobacteria
D3_1209751||	5803	8	4	0	No	dsDNAphage	2	Unknown	Yes	None	None
D2_2019575||	5802	5	0	0	No	dsDNAphage	0	Unknown	Yes	00054-contigs	Bacteroidia
D3_2184_length_5800_cov_10.382225_g690_i0||	5800	1	1	0	No	RNA	1	Unknown	No	00018-contigs	Alphaproteobacteria
D4_3993921||	5798	6	0	0	No	ssDNA	0	Myoviridae	Yes	00032-contigs	Cyanobacteriia
D1_468314||	5796	9	0	0	No	ssDNA	0	Unknown	Yes	None	None
D3_9752920||	5796	6	1	0	No	dsDNAphage	0	Unknown	Yes	00039-contigs	Cyanobacteriia
D1_1129235||	5795	15	4	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_4772150||	5791	5	0	0	No	ssDNA	0	Unknown	Yes	None	None
D1_919493||	5791	5	0	0	No	dsDNAphage	2	Unknown	Yes	00009-contigs	Bacteroidia
D2_4585670||	5791	4	0	2	No	dsDNAphage	1	Unknown	No	None	None
D1_920955||	5790	17	0	0	No	dsDNAphage	0	Unknown	Yes	00014-contigs	Cyanobacteriia
D3_9996275||	5790	10	4	0	No	dsDNAphage	0	Unknown	Yes	00011-contigs	Bacteroidia
D2_3626578||	5789	15	2	0	No	dsDNAphage	0	Unknown	Yes	00002-contigs	Gammaproteobacteria
D4_2661542||	5789	8	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_2341700||	5787	14	2	0	No	dsDNAphage	0	Unknown	Yes	00022-contigs	Bacteroidia
D1_2113911||	5785	12	1	0	No	dsDNAphage	0	Unknown	Yes	00036-contigs	Alphaproteobacteria
D1_1487480||	5784	5	2	0	No	dsDNAphage	1	Myoviridae	Yes	None	None
D4_2718924||	5783	10	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_2077979||	5781	12	1	0	No	dsDNAphage	0	Myoviridae	Yes	00028-contigs	Alphaproteobacteria
D3_2118339||	5780	8	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_2260645||	5780	10	2	0	No	dsDNAphage	3	Unknown	Yes	None	None
D3_6923550||	5779	8	0	1	No	dsDNAphage	1	Unknown	Yes	00039-contigs	Cyanobacteriia
D4_2633365||	5777	12	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_4644962||	5777	2	1	0	No	dsDNAphage	1	Unknown	No	00024-contigs	Bacteroidia
D2_5063629||	5776	11	0	0	No	dsDNAphage	0	Unknown	Yes	00021-contigs	Bacteroidia
D2_6355937||	5776	7	2	0	No	dsDNAphage	1	Unknown	Yes	None	None
D3_1748849||	5775	8	0	0	No	dsDNAphage	0	Unknown	Yes	00027-contigs	Bacteroidia
D2_6467638||	5773	13	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D2_1844402||	5772	11	2	0	No	dsDNAphage	2	Unknown	Yes	None	None
D1_1945692||	5771	9	2	0	No	dsDNAphage	4	Podoviridae	Yes	None	None
D1_5178581||	5770	7	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_8050168||	5770	11	4	0	No	dsDNAphage	0	Podoviridae	Yes	None	None
D4_1309572||	5770	8	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_8415200||	5767	10	2	0	No	ssDNA	0	Unknown	Yes	00039-contigs	Cyanobacteriia
D2_6697527||	5766	4	3	0	No	dsDNAphage	2	Unknown	Yes	None	None
D3_4975509||	5766	6	1	0	No	dsDNAphage	0	Unknown	Yes	00005-contigs	Bacteroidia
D1_4834746||	5764	2	1	0	No	dsDNAphage	2	Unknown	No	None	None
D3_5011562||	5764	5	2	0	No	dsDNAphage	1	Unknown	Yes	None	None
D2_674537||	5763	6	1	0	No	ssDNA	1	Unknown	Yes	None	None
D4_3952766||	5763	11	2	0	No	dsDNAphage	1	Unknown	Yes	None	None
D1_2985132||	5759	10	1	0	No	dsDNAphage	0	Unknown	Yes	00036-contigs	Alphaproteobacteria
D3_2378745||	5759	8	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_4005219||	5754	8	3	0	No	dsDNAphage	2	Myoviridae	Yes	None	None
D3_3343362||	5752	9	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_4795355||	5751	9	3	2	Yes	dsDNAphage	2	Unknown	Yes	00051-contigs	Alphaproteobacteria
D4_4781022||	5748	5	4	0	No	dsDNAphage	1	Unknown	Yes	00020-contigs	Cyanobacteriia
D2_2920973||	5747	6	2	0	No	dsDNAphage	0	Unknown	Yes	00021-contigs	Bacteroidia
D2_7782805||	5747	6	1	0	No	dsDNAphage	1	Siphoviridae	Yes	00011-contigs	Alphaproteobacteria
D3_2211_length_5746_cov_94.879429_g700_i0||	5746	7	0	0	No	RNA	0	Unknown	Yes	None	None
D3_3962704||	5745	5	2	0	No	dsDNAphage	1	Unknown	Yes	None	None
D1_742757||	5743	8	0	0	No	ssDNA	0	Unknown	Yes	00009-contigs	Bacteroidia
D3_417568||	5743	1	0	0	No	dsDNAphage	1	Unknown	No	00076-contigs	Cyanobacteriia
D3_7345597||	5742	10	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_1135655||	5740	10	4	0	No	ssDNA	0	Myoviridae	Yes	None	None
D3_3677200||	5740	1	0	0	No	dsDNAphage	1	Unknown	No	None	None
D4_5506944||	5740	6	2	0	No	dsDNAphage	2	Unknown	Yes	None	None
D1_5197770||	5738	13	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_8224853||	5735	7	1	0	No	dsDNAphage	1	Unknown	Yes	None	None
D2_1906478||	5731	17	3	0	No	dsDNAphage	0	Unknown	Yes	00002-contigs	Gammaproteobacteria
D3_9362198||	5731	6	3	0	No	dsDNAphage	3	Unknown	Yes	None	None
D4_3914510||	5731	15	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_1005078||	5729	9	1	0	No	dsDNAphage	0	Unknown	Yes	00045-contigs	Alphaproteobacteria
D2_1390046||	5728	7	3	0	No	dsDNAphage	2	Unknown	Yes	None	None
D2_7886627||	5728	2	0	0	No	dsDNAphage	0	Unknown	No	00004-contigs	Bacteroidia
D1_2396_length_5727_cov_92.255394_g856_i0||	5727	1	0	0	No	RNA	1	Unknown	No	None	None
D3_7187269||	5727	7	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_1512474||	5726	9	0	0	No	dsDNAphage	0	Unknown	Yes	00012-contigs	UBA11346
D1_3980101||	5723	9	8	0	No	dsDNAphage	2	Myoviridae	Yes	None	None
D3_2902786||	5723	2	0	0	No	ssDNA	0	Unknown	No	None	None
D3_5151826||	5723	6	0	0	No	ssDNA	0	Unknown	Yes	None	None
D1_2933452||	5721	7	1	0	No	ssDNA	0	Unknown	Yes	None	None
D4_5497566||	5721	8	0	0	No	dsDNAphage	0	Unknown	Yes	00010-contigs	Bacteroidia
D4_993687||	5721	8	1	0	No	dsDNAphage	2	Unknown	Yes	None	None
D4_5269610||	5720	4	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_4463799||	5718	13	8	0	No	dsDNAphage	1	Autographiviridae	Yes	None	None
D3_9988902||	5717	8	2	0	No	dsDNAphage	0	Unknown	Yes	00039-contigs	Cyanobacteriia
D4_584534||	5716	10	2	0	No	dsDNAphage	0	Unknown	Yes	00028-contigs	Bacteroidia
D1_1674379||	5715	4	4	0	No	dsDNAphage	1	Unknown	Yes	None	None
D3_1454119||	5715	5	0	0	No	dsDNAphage	2	Unknown	Yes	00011-contigs	Bacteroidia
D4_4075164||	5715	4	0	0	No	dsDNAphage	0	Unknown	Yes	00020-contigs	Cyanobacteriia
D1_1754811||	5713	7	0	0	No	dsDNAphage	1	Unknown	Yes	None	None
D4_1927183||	5709	6	2	0	No	dsDNAphage	2	Unknown	Yes	00032-contigs	Cyanobacteriia
D2_3689671||	5708	8	0	1	No	dsDNAphage	1	Unknown	Yes	00020-contigs	Cyanobacteriia
D2_4856631||	5707	10	3	0	No	dsDNAphage	0	Myoviridae	Yes	None	None
D4_2182498||	5707	8	3	0	No	dsDNAphage	3	Unknown	Yes	None	None
D1_2888306||	5705	9	2	0	No	dsDNAphage	1	Unknown	Yes	None	None
D1_5085579||	5705	4	3	0	No	dsDNAphage	1	Unknown	Yes	None	None
D4_3595810||	5705	6	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_148573||	5704	5	2	0	No	dsDNAphage	1	Unknown	Yes	None	None
D3_6696506||	5701	10	1	0	No	ssDNA	0	Unknown	Yes	00011-contigs	Bacteroidia
D3_8714907||	5701	8	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D2_4351181||	5699	13	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D2_1065255||	5698	4	0	2	No	ssDNA	0	Unknown	Yes	00002-contigs	Gammaproteobacteria
D1_5949184||	5691	10	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D2_6567016||	5690	9	0	0	No	dsDNAphage	0	Unknown	Yes	00033-contigs	Alphaproteobacteria
D2_830942||	5690	1	1	0	No	dsDNAphage	1	Myoviridae	No	None	None
D4_133411||	5689	4	0	1	No	dsDNAphage	1	Unknown	Yes	00010-contigs	Bacteroidia
D1_2982480||	5687	7	0	0	No	ssDNA	1	Unknown	Yes	None	None
D1_4806751||	5686	3	0	0	No	dsDNAphage	0	Unknown	No	00054-contigs	Gracilibacteria
D3_2370550||	5686	7	0	0	No	dsDNAphage	1	Unknown	Yes	None	None
D4_2474592||	5686	13	6	0	No	dsDNAphage	0	Podoviridae	Yes	00028-contigs	Bacteroidia
D4_3140994||	5686	12	1	2	No	dsDNAphage	0	Unknown	Yes	00020-contigs	Cyanobacteriia
D2_1526161||	5684	6	0	0	No	ssDNA	0	Unknown	Yes	None	None
D3_8112565||	5684	15	0	0	No	dsDNAphage	0	Unknown	Yes	00005-contigs	Bacteroidia
D2_4121877||	5683	4	1	0	No	dsDNAphage	0	Myoviridae	Yes	None	None
D1_2589234||	5682	6	1	0	No	dsDNAphage	1	Unknown	Yes	00014-contigs	Cyanobacteriia
D4_6144722||	5680	8	1	0	No	dsDNAphage	0	Unknown	Yes	00020-contigs	Cyanobacteriia
D1_5749188||	5679	3	0	0	No	dsDNAphage	0	Unknown	No	None	None
D1_948532||	5679	11	1	1	No	dsDNAphage	0	Unknown	Yes	00009-contigs	Bacteroidia
D3_2938378||	5679	11	1	0	No	dsDNAphage	0	Unknown	Yes	00062-contigs	Bacteroidia
D3_6897490||	5678	10	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_3112444||	5678	7	0	1	No	dsDNAphage	1	Unknown	Yes	00051-contigs	Alphaproteobacteria
D2_2105753||	5676	3	0	0	No	dsDNAphage	0	Unknown	No	00016-contigs	Cyanobacteriia
D3_7866602||	5674	11	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_241493||	5672	9	1	0	No	dsDNAphage	0	Unknown	Yes	00035-contigs	Alphaproteobacteria
D2_3181803||	5671	4	1	0	No	dsDNAphage	1	Unknown	Yes	00056-contigs	Gammaproteobacteria
D3_3744159||	5671	7	2	0	No	dsDNAphage	1	Podoviridae	Yes	00027-contigs	Bacteroidia
D1_1209001||	5670	13	0	0	No	dsDNAphage	0	Unknown	Yes	00009-contigs	Bacteroidia
D2_1078485||	5665	9	1	0	No	dsDNAphage	1	Unknown	Yes	00004-contigs	Bacteroidia
D4_1878116||	5665	4	0	0	No	dsDNAphage	1	Unknown	Yes	None	None
D4_2058847||	5665	11	2	0	No	dsDNAphage	2	Unknown	Yes	None	None
D1_94210||	5661	5	0	0	No	dsDNAphage	2	Unknown	Yes	None	None
D4_3788788||	5661	10	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D2_7435239||	5659	9	8	0	No	dsDNAphage	5	Siphoviridae	Yes	None	None
D4_2073496||	5659	6	1	0	No	dsDNAphage	3	Unknown	Yes	00028-contigs	Bacteroidia
D4_4787698||	5659	7	1	0	No	dsDNAphage	1	Unknown	Yes	00020-contigs	Cyanobacteriia
D3_6319609||	5657	9	0	0	No	dsDNAphage	0	Myoviridae	Yes	00039-contigs	Cyanobacteriia
D4_3774479||	5656	5	2	0	No	dsDNAphage	1	Unknown	Yes	00010-contigs	Bacteroidia
D4_5688509||	5656	9	0	0	No	dsDNAphage	0	Unknown	Yes	00012-contigs	UBA11346
D2_3347049||	5655	9	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_399528||	5650	7	2	0	No	dsDNAphage	2	Unknown	Yes	None	None
D3_6169775||	5649	11	2	0	No	dsDNAphage	0	Unknown	Yes	00029-contigs	Bacteroidia
D2_3279254||	5646	7	2	0	No	dsDNAphage	2	Unknown	Yes	None	None
D4_3580006||	5645	5	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_2467_length_5644_cov_48.570095_g885_i0||	5644	7	0	0	No	RNA	0	Unknown	Yes	None	None
D1_4959626||	5644	14	6	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_955155||	5644	8	0	0	No	dsDNAphage	1	Unknown	Yes	None	None
D4_2828152||	5644	9	1	0	No	ssDNA	0	Unknown	Yes	None	None
D2_4069079||	5643	12	5	0	No	dsDNAphage	3	Podoviridae	Yes	None	None
D3_648665||	5643	3	1	0	No	dsDNAphage	1	Unknown	No	00005-contigs	Bacteroidia
D2_4605883||	5642	8	3	0	No	dsDNAphage	0	Autographiviridae	Yes	00011-contigs	Alphaproteobacteria
D4_4020843||	5642	10	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_5665536||	5640	7	6	0	No	dsDNAphage	2	Myoviridae	Yes	None	None
D1_5266444||	5637	17	2	0	No	dsDNAphage	1	Unknown	Yes	00009-contigs	Bacteroidia
D3_4644241||	5636	13	2	1	No	dsDNAphage	0	Unknown	Yes	00039-contigs	Cyanobacteriia
D2_8504688||	5634	10	1	0	No	dsDNAphage	0	Myoviridae	Yes	None	None
D4_3019990||	5634	11	2	0	No	dsDNAphage	0	Siphoviridae	Yes	00005-contigs	Bacteroidia
D3_558425||	5633	10	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_2972150||	5631	5	0	0	No	dsDNAphage	1	Unknown	Yes	00006-contigs	Alphaproteobacteria
D1_857787||	5629	10	3	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_148999||	5628	9	2	0	No	dsDNAphage	0	Unknown	Yes	00005-contigs	Bacteroidia
D4_738280||	5628	10	7	0	No	dsDNAphage	4	Myoviridae	Yes	None	None
D1_2478_length_5627_cov_35.415916_g890_i0||	5627	1	1	0	No	RNA	1	Unknown	No	None	None
D1_2480_length_5626_cov_13.853593_g892_i0||	5626	2	2	0	No	RNA	1	Unknown	No	None	None
D1_3458175||	5626	6	5	0	No	dsDNAphage	3	Unknown	Yes	None	None
D3_6292953||	5626	4	0	0	No	dsDNAphage	1	Siphoviridae	No	None	None
D1_5562264||	5625	7	5	0	No	dsDNAphage	2	Myoviridae	Yes	None	None
D4_3331419||	5625	10	3	0	No	dsDNAphage	1	Unknown	Yes	None	None
D1_3248849||	5624	12	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D2_3782005||	5624	9	2	0	No	dsDNAphage	0	Unknown	Yes	00004-contigs	Bacteroidia
D3_5155905||	5624	12	0	0	No	dsDNAphage	0	Unknown	Yes	00005-contigs	Bacteroidia
D2_7313941||	5621	3	0	0	No	dsDNAphage	0	Unknown	No	None	None
D2_3191708||	5619	10	6	0	No	dsDNAphage	2	Autographiviridae	Yes	None	None
D2_6342312||	5618	9	1	0	No	dsDNAphage	1	Podoviridae	Yes	00034-contigs	Gammaproteobacteria
D4_2431289||	5618	9	6	0	No	dsDNAphage	4	Unknown	Yes	None	None
D4_391647||	5617	17	1	0	No	dsDNAphage	0	Unknown	Yes	00005-contigs	Bacteroidia
D4_2199231||	5615	17	1	0	No	dsDNAphage	0	Unknown	Yes	00010-contigs	Bacteroidia
D2_1092428||	5614	10	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_3080359||	5614	12	4	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_1727340||	5611	11	4	0	No	dsDNAphage	1	Unknown	Yes	None	None
D1_1855385||	5610	9	3	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_5278511||	5610	7	2	0	No	dsDNAphage	3	Unknown	Yes	None	None
D2_8356720||	5610	4	0	0	No	ssDNA	0	Unknown	Yes	00020-contigs	Cyanobacteriia
D1_1622152||	5609	8	3	0	No	dsDNAphage	0	Podoviridae	Yes	None	None
D4_3976426||	5607	11	3	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_2205456||	5606	9	2	0	No	dsDNAphage	2	Unknown	Yes	00018-contigs	Alphaproteobacteria
D4_6024439||	5604	7	0	0	No	ssDNA	0	Unknown	Yes	None	None
D2_3930367||	5602	9	2	1	Yes	dsDNAphage	0	Unknown	Yes	None	None
D2_4743367||	5599	8	3	0	No	dsDNAphage	0	Unknown	Yes	00056-contigs	Gammaproteobacteria
D3_9034308||	5598	9	5	0	No	dsDNAphage	4	Unknown	Yes	None	None
D2_3519514||	5597	7	1	0	No	dsDNAphage	0	Unknown	Yes	00002-contigs	Gammaproteobacteria
D4_5932399||	5596	11	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_6016267||	5595	7	3	0	No	dsDNAphage	3	Unknown	Yes	None	None
D2_4390844||	5595	8	4	0	No	dsDNAphage	0	Myoviridae	Yes	00011-contigs	Alphaproteobacteria
D3_6495156||	5593	5	1	0	No	dsDNAphage	1	Unknown	Yes	00039-contigs	Cyanobacteriia
D4_5043075||	5592	8	3	1	No	dsDNAphage	2	Podoviridae	Yes	00002-contigs	Bacteroidia
D4_2299919||	5591	8	0	0	No	dsDNAphage	1	Unknown	Yes	None	None
D1_1152937||	5589	5	1	0	No	dsDNAphage	2	Unknown	Yes	None	None
D1_5572000||	5585	10	3	0	No	dsDNAphage	1	Myoviridae	Yes	00036-contigs	Alphaproteobacteria
D2_285535||	5582	17	0	0	No	dsDNAphage	0	Unknown	Yes	00002-contigs	Gammaproteobacteria
D4_2414883||	5582	10	3	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_5072792||	5581	8	4	0	No	dsDNAphage	1	Unknown	Yes	None	None
D3_6661424||	5580	7	2	0	No	dsDNAphage	2	Siphoviridae	Yes	00009-contigs	UBA11346
D3_5306222||	5578	7	0	0	No	dsDNAphage	0	Unknown	Yes	00039-contigs	Cyanobacteriia
D2_6506386||	5577	16	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
